"St","Name","Version","Arch","Description","Licenses"
"ii","libhttp-server-simple-perl","0.52-1","all","simple stand-alone HTTP server","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libhttp-tiny-multipart-perl","0.08-1","all","module to add post_multipart method to HTTP::Tiny","Artistic Artistic or Artistic-2.0 or GPL-1+ Artistic-2.0 GPL-1+"
"ii","libhunspell-1.7-0:amd64","1.7.0-2build2","amd64","spell checker and morphological analyzer (shared library)","GPL-2 LGPL-2.1"
"ii","libhx509-5-heimdal:amd64","7.7.0+dfsg-1ubuntu1","amd64","Heimdal Kerberos - X509 support library","BSD-3-clause GPL-2+ custom none"
"ii","libhx509-5-heimdal:i386","7.7.0+dfsg-1ubuntu1","i386","Heimdal Kerberos - X509 support library","BSD-3-clause GPL-2+ custom none"
"ii","libhyphen0:amd64","2.8.8-7","amd64","ALTLinux hyphenation library - shared library","GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1+ LGPL-2.1+ MPL-1.1+"
"ii","libibus-1.0-5:amd64","1.5.22-2ubuntu2.1","amd64","Intelligent Input Bus - shared library","GPL-2.0+ with autoconf exception GPL-3.0+ with autoconf exception ISC-Fujitsu ISC-Intel ISC-NCR ISC-Sun LGPL-2.0+ LGPL-2.1+ MIT permissive permissive-author-grant-attribution permissive-autoconf-m4 permissive-fsf-grant permissive-fsf-grant-attribution permissive-makefile-in"
"ii","libibverbs1:amd64","28.0-1ubuntu1","amd64","Library for direct userspace use of RDMA (InfiniBand/iWARP)","BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT"
"ii","libical3:amd64","3.0.8-1","amd64","iCalendar library implementation in C (runtime)","BSD-3-Clause BSD-3-clause GPL-1+ or Artistic-1 LGPL-2.1 LGPL-2.1 or MPL-2.0 MPL-2.0"
"ii","libice-dev:amd64","2:1.0.10-0ubuntu1","amd64","X11 Inter-Client Exchange library (development headers)","See project repository"
"ii","libice6:amd64","2:1.0.10-0ubuntu1","amd64","X11 Inter-Client Exchange library","See project repository"
"ii","libicu-dev:amd64","66.1-2ubuntu2","amd64","Development files for International Components for Unicode","See project repository"
"ii","libicu60:amd64","60.2-3ubuntu3","amd64","International Components for Unicode","See project repository"
"ii","libicu66:amd64","66.1-2ubuntu2","amd64","International Components for Unicode","See project repository"
"ii","libicu66:i386","66.1-2ubuntu2","i386","International Components for Unicode","See project repository"
"ii","libid3tag0:amd64","0.15.1b-14","amd64","ID3 tag reading library from the MAD project","GPL"
"ii","libidn11:amd64","1.33-2.2ubuntu2","amd64","GNU Libidn library, implementation of IETF IDN specifications","GAP GFDL-1.3+ GPL-3+ LGPL-2.1+ LGPL-3+ or GPL-2+"
"ii","libidn2-0:amd64","2.2.0-2","amd64","Internationalized domain names (IDNA2008/TR46) library","GPL-2+ GPL-3+ LGPL-3+ LGPL-3+ or GPL-2+ Unicode"
"ii","libidn2-0:i386","2.2.0-2","i386","Internationalized domain names (IDNA2008/TR46) library","GPL-2+ GPL-3+ LGPL-3+ LGPL-3+ or GPL-2+ Unicode"
"ii","libiec61883-0:amd64","1.2.0-3","amd64","partial implementation of IEC 61883 (shared lib)","LGPL-2.1"
"ii","libiec61883-0:i386","1.2.0-3","i386","partial implementation of IEC 61883 (shared lib)","LGPL-2.1"
"ii","libieee1284-3:amd64","0.2.11-13build1","amd64","cross-platform library for parallel port access","GPL"
"ii","libieee1284-3:i386","0.2.11-13build1","i386","cross-platform library for parallel port access","GPL"
"ii","libigdgmm11:amd64","20.1.1+ds1-1","amd64","Intel Graphics Memory Management Library -- shared library","BSD-3-clause Expat"
"ii","libigdgmm11:i386","20.1.1+ds1-1","i386","Intel Graphics Memory Management Library -- shared library","BSD-3-clause Expat"
"ii","libijs-0.35:amd64","0.35-15","amd64","IJS raster image transport protocol: shared library","Expat Expat~X Expat~X with X exception GAP GAP~Makefile.in GAP~configure GPL-2+ GPL-2+ with Autoconf exception"
"ii","libilmbase24:amd64","2.3.0-6build1","amd64","several utility libraries from ILM used by OpenEXR","boost ilmbase"
"ii","libimage-magick-perl","8:6.9.10.23+dfsg-2.1ubuntu11.2","all","Perl interface to the ImageMagick graphics routines","BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-2+ GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish Imagemagick LGPL-3+ Magick++ Makefile-in Perllikelicense TatcherUlrichPublicDomain aclocal"
"ii","libimage-magick-q16-perl","8:6.9.10.23+dfsg-2.1ubuntu11.2","amd64","Perl interface to the ImageMagick graphics routines -- Q16 version","BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-2+ GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish Imagemagick LGPL-3+ Magick++ Makefile-in Perllikelicense TatcherUlrichPublicDomain aclocal"
"ii","libimagequant0:amd64","2.12.2-1.1","amd64","palette quantization library","CC0 GPL-3.0+ MIT"
"ii","libimlib2:amd64","1.6.1-1","amd64","image loading, rendering, saving library","imlib2-license"
"ii","libimobiledevice-utils","1.2.1~git20191129.9f79242-1build1","amd64","Utitilies for communicating with iPhone and other Apple devices","GPL-3+ LGPL-2.1+"
"ii","libimobiledevice6:amd64","1.2.1~git20191129.9f79242-1build1","amd64","Library for communicating with iPhone and other Apple devices","GPL-3+ LGPL-2.1+"
"ii","libimport-into-perl","1.002005-1","all","module for importing packages into other packages","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libinput-bin","1.15.5-1ubuntu0.2","amd64","input device management and event handling library - udev quirks","Expat GPL-2"
"ii","libinput10:amd64","1.15.5-1ubuntu0.2","amd64","input device management and event handling library - shared library","Expat GPL-2"
"ii","libinstpatch-1.0-2:amd64","1.1.2-2build1","amd64","MIDI instrument editing library","LGPL-2.1 Public_Domain_1 Public_Domain_2"
"ii","libio-async-loop-epoll-perl","0.20-1","all","Perl extension for an event loop using epoll","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libio-async-perl","0.75-1","all","modules for asynchronous event-driven programming","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libio-html-perl","1.001-1","all","open an HTML file with automatic charset detection","Artistic Artistic or GPL-1+ GPL-1+ GPL-3+"
"ii","libio-prompter-perl","0.004015-1","all","Perl module to prompt for input, read it, clean it, return it","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libio-pty-perl","1:1.12-1","amd64","Perl module for pseudo tty IO","Artistic Artistic or GPL-1+ Artistic or GPL-1+ or BSD-2-Clause BSD-2-Clause GPL-1+"
"ii","libio-socket-ssl-perl","2.067-1","all","Perl module implementing object oriented interface to SSL sockets","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libio-string-perl","1.08-3","all","Emulate IO::File interface for in-core strings","Artistic GPL-1"
"ii","libio-stringy-perl","2.111-3","all","modules for I/O on in-core objects (strings/arrays)","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libio-stty-perl","0.04-1","all","module to change/print terminal (PTY) line settings","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libip4tc2:amd64","1.8.4-3ubuntu2","amd64","netfilter libip4tc library","Artistic GPL-2 GPL-2+ custom"
"ii","libip6tc2:amd64","1.8.4-3ubuntu2","amd64","netfilter libip6tc library","Artistic GPL-2 GPL-2+ custom"
"ii","libipc-run-perl","20180523.0-2","all","Perl module for running processes","Artistic Artistic or GPL-1+ Artistic or GPL-2 GPL-1+ GPL-2"
"ii","libipc-system-simple-perl","1.26-1","all","Perl module to run commands simply, with detailed diagnostics","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libisc-export1105:amd64","1:9.11.16+dfsg-3~ubuntu1","amd64","Exported ISC Shared Library","BSD-2-clause BSD-3-clause ISC ISC or MPL-2.0 MPL-2.0"
"ii","libisl22:amd64","0.22.1-1","amd64","manipulating sets and relations of integer points bounded by linear constraints","BSD-2-clause LGPL-2.1+ MIT"
"ii","libitm1:amd64","10.2.0-5ubuntu1~20.04","amd64","GNU Transactional Memory Library","Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL"
"ii","libiw30:amd64","30~pre9-13ubuntu1","amd64","Wireless tools - library","GPL-2 LGPL-2.1"
"ii","libixml10:amd64","1:1.8.4-2ubuntu2","amd64","Portable SDK for UPnP Devices, version 1.8 (ixml shared library)","Academia-Sinicai-XML-Now BSD-3-clause-Intel GPL-2+ GPL-2+ with Autoconf exception GPL-3+ with Autoconf exception ISC MIT-like"
"ii","libjack-jackd2-0:amd64","1.9.12~dfsg-2ubuntu2","amd64","JACK Audio Connection Kit (libraries)","BSD-3-clause Expat Expat~modrequest GPL-2 GPL-2+ GPL-2~either GPL-2~jack-audio-connection-kit GPL-2~jackd2 GPL-2~or GPL-3+ LGPL-2+ LGPL-2.1+ None public-domain~Kroon"
"ii","libjack-jackd2-0:i386","1.9.12~dfsg-2ubuntu2","i386","JACK Audio Connection Kit (libraries)","BSD-3-clause Expat Expat~modrequest GPL-2 GPL-2+ GPL-2~either GPL-2~jack-audio-connection-kit GPL-2~jackd2 GPL-2~or GPL-3+ LGPL-2+ LGPL-2.1+ None public-domain~Kroon"
"ii","libjansson4:amd64","2.12-1build1","amd64","C library for encoding, decoding and manipulating JSON data","Expat"
"ii","libjavascriptcoregtk-3.0-0:amd64","2.4.11-3ubuntu3","amd64","JavaScript engine library from WebKitGTK+","GPL-2 LGPL-2"
"ii","libjavascriptcoregtk-4.0-18:amd64","2.30.3-0ubuntu0.20.04.1","amd64","JavaScript engine library from WebKitGTK","AFL-2.0 AFL-2.0 or LGPL-2+ Apache-2.0 BSD-2-clause BSD-3-clause-adam-barth BSD-3-clause-apple BSD-3-clause-apple-mozilla BSD-3-clause-canon BSD-3-clause-code-aurora BSD-3-clause-copyright-holder BSD-3-clause-ericsson BSD-3-clause-google BSD-3-clause-jochen-kalmbach BSD-3-clause-microsoft BSD-3-clause-motorola BSD-3-clause-opera BSL Expat GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-3+ ISC LGPL-2 LGPL-2+ LGPL-2+ or MPL-1.1 LGPL-2.1 LGPL-2.1+ LGPL-2.1+ or MPL-1.1 MPL-1.1 MPL-2.0 public-domain"
"ii","libjbig-dev:amd64","2.1-3.1build1","amd64","JBIGkit development files","GPL-2+"
"ii","libjbig0:amd64","2.1-3.1build1","amd64","JBIGkit libraries","GPL-2+"
"ii","libjbig0:i386","2.1-3.1build1","i386","JBIGkit libraries","GPL-2+"
"ii","libjbig2dec0:amd64","0.18-1ubuntu1","amd64","JBIG2 decoder library - shared libraries","AGPL-3+ BSD-2-clause GPL-3+ LGPL-2.1+ pubic-domain public-domain"
"ii","libjpeg-dev:amd64","8c-2ubuntu8","amd64","Independent JPEG Group's JPEG runtime library (dependency package)","LGPL-2.1"
"ii","libjpeg-turbo8:amd64","2.0.3-0ubuntu1.20.04.1","amd64","IJG JPEG compliant runtime library.","LGPL-2.1"
"ii","libjpeg-turbo8:i386","2.0.3-0ubuntu1.20.04.1","i386","IJG JPEG compliant runtime library.","LGPL-2.1"
"ii","libjpeg-turbo8-dev:amd64","2.0.3-0ubuntu1.20.04.1","amd64","Development files for the IJG JPEG library","LGPL-2.1"
"ii","libjpeg8:amd64","8c-2ubuntu8","amd64","Independent JPEG Group's JPEG runtime library (dependency package)","LGPL-2.1"
"ii","libjpeg8:i386","8c-2ubuntu8","i386","Independent JPEG Group's JPEG runtime library (dependency package)","LGPL-2.1"
"ii","libjpeg8-dev:amd64","8c-2ubuntu8","amd64","Independent JPEG Group's JPEG runtime library (dependency package)","LGPL-2.1"
"ii","libjs-jquery","3.3.1~dfsg-3","all","JavaScript library for dynamic web applications","BSD-3-clause GPL-2 GPL-2 or MIT MIT MIT or BSD-3-clause or GPL-2"
"ii","libjs-mathjax","2.7.4+dfsg-1","all","JavaScript display engine for LaTeX and MathML","Apache-2.0 GFL GPL-2+ GPL-2+ or Apache-2.0 OFL-1.1"
"ii","libjson-c4:amd64","0.13.1+dfsg-7ubuntu0.3","amd64","JSON manipulation library - shared library","Expat"
"ii","libjson-glib-1.0-0:amd64","1.4.4-2ubuntu2","amd64","GLib JSON manipulation library","LGPL-2.1+"
"ii","libjson-glib-1.0-common","1.4.4-2ubuntu2","all","GLib JSON manipulation library (common files)","LGPL-2.1+"
"ii","libjson-maybexs-perl","1.004000-1","all","interface to the best available JSON module","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libjson-perl","4.02000-2","all","module for manipulating JSON-formatted data","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libjson-xs-perl","4.020-1build1","amd64","module for manipulating JSON-formatted data (C/XS-accelerated)","Artistic Artistic or GPL-1+ GPL-1+"
"ii","libjsoncpp1:amd64","1.7.4-3.1ubuntu2","amd64","library for reading and writing JSON for C++","Expat_or_PublicDomain_or_DualExpatPD GPL-3+"
"ii","libjsp-api-java","2.3.4-2","all","JavaServer Pages API","Apache-2.0 CDDL-1.1 CDDL-1.1 or GPL-2 with Classpath exception GPL-2 with Classpath exception"
"ii","libjuh-java","1:6.4.6-0ubuntu0.20.04.1","all","LibreOffice UNO runtime environment -- Java Uno helper","Apache-2.0 CC-BY-SA-3.0 CC0-1.0 Expat GPL-2 GPL-2+ GPL-3+ LGPL-2 LGPL-3 LGPL-3+ MPL-1.1 MPL-1.1 or GPL-2 or LGPL-2 MPL-2.0 other"
"ii","libjurt-java","1:6.4.6-0ubuntu0.20.04.1","all","LibreOffice UNO runtime environment -- Java Uno Runtime","Apache-2.0 CC-BY-SA-3.0 CC0-1.0 Expat GPL-2 GPL-2+ GPL-3+ LGPL-2 LGPL-3 LGPL-3+ MPL-1.1 MPL-1.1 or GPL-2 or LGPL-2 MPL-2.0 other"
"ii","libk5crypto3:amd64","1.17-6ubuntu4.1","amd64","MIT Kerberos runtime libraries - Crypto Library","GPL-2"
"ii","libk5crypto3:i386","1.17-6ubuntu4.1","i386","MIT Kerberos runtime libraries - Crypto Library","GPL-2"
"ii","libkaccounts1:amd64","4:19.12.3-0ubuntu1","amd64","System to administer web accounts - shared library","GPL-2 GPL-2+ GPL-KDEeV LGPL-2+"
"ii","libkadm5clnt-mit11:amd64","1.17-6ubuntu4.1","amd64","MIT Kerberos runtime libraries - Administration Clients","GPL-2"
"ii","libkadm5srv-mit11:amd64","1.17-6ubuntu4.1","amd64","MIT Kerberos runtime libraries - KDC and Admin Server","GPL-2"
"ii","libkate1:amd64","0.4.1-11build1","amd64","Codec for karaoke and text encapsulation","BSD-3-Clause GPL-2+"
"ii","libkchart2:amd64","2.6.3-1","amd64","library for creating business charts (shared library)","GPL-2+"
"ii","libkchart2-l10n","2.6.3-1","all","library for creating business charts (translation)","GPL-2+"
"ii","libkdb5-9:amd64","1.17-6ubuntu4.1","amd64","MIT Kerberos runtime libraries - Kerberos database","GPL-2"
"ii","libkdecorations2-5v5","4:5.18.4.1-0ubuntu1","amd64","library to create window decorations","LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkdecorations2private7","4:5.18.4.1-0ubuntu1","amd64","library to create window decorations - private library","LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkeybinder-3.0-0:amd64","0.3.2-1ubuntu1","amd64","registers global key bindings for applications - Gtk+3","GPL-2+ MIT public-domain"
"ii","libkeyutils1:amd64","1.6-6ubuntu1","amd64","Linux Key Management Utilities (library)","GPL-2+ LGPL-2+"
"ii","libkeyutils1:i386","1.6-6ubuntu1","i386","Linux Key Management Utilities (library)","GPL-2+ LGPL-2+"
"ii","libkf5activities5:amd64","5.68.0-0ubuntu2","amd64","Library to organize the user work in separate activities.","Expat GPL-2+ GPL-2+3+KDEeV LGPL-2 LGPL-2+"
"ii","libkf5archive-dev","5.68.0-0ubuntu1","amd64","development files for karchive","BSD-2-clause LGPL-2 LGPL-2+ LGPL-2+3+KDEeV"
"ii","libkf5archive-doc","5.68.0-0ubuntu1","all","Qt 5 addon providing access to numerous types of archives (documentation)","BSD-2-clause LGPL-2 LGPL-2+ LGPL-2+3+KDEeV"
"ii","libkf5archive5:amd64","5.68.0-0ubuntu1","amd64","Qt 5 addon providing access to numerous types of archives","BSD-2-clause LGPL-2 LGPL-2+ LGPL-2+3+KDEeV"
"ii","libkf5attica-dev","5.68.0-0ubuntu1","amd64","development files for libkf5attica5","LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5attica-doc","5.68.0-0ubuntu1","all","Qt library that implements the Open Collaboration Services API (documentation)","LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5attica5:amd64","5.68.0-0ubuntu1","amd64","Qt library that implements the Open Collaboration Services API","LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5auth-data","5.68.0-0ubuntu1","all","Abstraction to system policy and authentication features","BSD-3-clause GPL LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5auth-dev:amd64","5.68.0-0ubuntu1","amd64","Abstraction to system policy and authentication features","BSD-3-clause GPL LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5auth-dev-bin","5.68.0-0ubuntu1","amd64","Abstraction to system policy and authentication features","BSD-3-clause GPL LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5auth-doc","5.68.0-0ubuntu1","all","Abstraction to system policy and authentication features (documentation)","BSD-3-clause GPL LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5auth5:amd64","5.68.0-0ubuntu1","amd64","Abstraction to system policy and authentication features","BSD-3-clause GPL LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5authcore5:amd64","5.68.0-0ubuntu1","amd64","Abstraction to system policy and authentication features","BSD-3-clause GPL LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5bluezqt-data","5.68.0-0ubuntu1","all","data files for bluez-qt","LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5bluezqt6:amd64","5.68.0-0ubuntu1","amd64","Qt wrapper for bluez","LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5bookmarks-data","5.68.0-0ubuntu1","all","Qt library with support for bookmarks and the XBEL format.","GPL LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5bookmarks-dev","5.68.0-0ubuntu1","amd64","Qt library with support for bookmarks and the XBEL format.","GPL LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5bookmarks-doc","5.68.0-0ubuntu1","all","Qt library with support for bookmarks and the XBEL format (documentation)","GPL LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5bookmarks5:amd64","5.68.0-0ubuntu1","amd64","Qt library with support for bookmarks and the XBEL format.","GPL LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5calendarevents5:amd64","5.68.0-0ubuntu2","amd64","provides integration of QML and KDE frameworks -- calendarevents","BSD-3-clause Expat GPL GPL-2+ GPL-2+3+KDEeV LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV LGPL-2.1-QTexception-1.1"
"ii","libkf5codecs-data","5.68.0-0ubuntu1","all","collection of methods to manipulate strings","Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1 MPL-1.1 or GPL-2+ or LGPL-2.1+"
"ii","libkf5codecs-dev","5.68.0-0ubuntu1","amd64","development files for kcodecs","Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1 MPL-1.1 or GPL-2+ or LGPL-2.1+"
"ii","libkf5codecs-doc","5.68.0-0ubuntu1","all","collection of methods to manipulate strings (documentation)","Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1 MPL-1.1 or GPL-2+ or LGPL-2.1+"
"ii","libkf5codecs5:amd64","5.68.0-0ubuntu1","amd64","collection of methods to manipulate strings","Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1 MPL-1.1 or GPL-2+ or LGPL-2.1+"
"ii","libkf5completion-data","5.68.0-0ubuntu1","all","Widgets with advanced auto-completion features.","GPL LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5completion-dev","5.68.0-0ubuntu1","amd64","development files for kcompletion","GPL LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5completion-doc","5.68.0-0ubuntu1","all","Widgets with advanced auto-completion features (documentation)","GPL LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5completion5:amd64","5.68.0-0ubuntu1","amd64","Widgets with advanced auto-completion features.","GPL LGPL-2 LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV"
"ii","libkf5config-bin","5.68.0-0ubuntu1","amd64","configuration settings framework for Qt","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5config-data","5.68.0-0ubuntu1","all","configuration settings framework for Qt","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5config-dev:amd64","5.68.0-0ubuntu1","amd64","configuration settings framework for Qt","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5config-dev-bin","5.68.0-0ubuntu1","amd64","configuration settings framework for Qt -- binary package","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5config-doc","5.68.0-0ubuntu1","all","configuration settings framework for Qt (documentation)","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5configcore5:amd64","5.68.0-0ubuntu1","amd64","configuration settings framework for Qt","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5configgui5:amd64","5.68.0-0ubuntu1","amd64","configuration settings framework for Qt","BSD-2-clause BSD-3-clause Expat GPL GPL-2+ LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV MIT_OLIF"
"ii","libkf5configwidgets-data","5.68.0-0ubuntu1","all","Extra widgets for easier configuration support.","Expat GPL-2+ LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+3+KDEeV"
"ii","libkf5configwidgets-dev","5.68.0-0ubuntu1","amd64","development files for kconfigwidgets","Expat GPL-2+ LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+3+KDEeV"
"ii","libkf5configwidgets-doc","5.68.0-0ubuntu1","all","Extra widgets for easier configuration support (documentation)","Expat GPL-2+ LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+3+KDEeV"
"ii","libkf5configwidgets5:amd64","5.68.0-0ubuntu1","amd64","Extra widgets for easier configuration support.","Expat GPL-2+ LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1+3+KDEeV"
"ii","libkf5coreaddons-data","5.68.0-0ubuntu1","all","KDE Frameworks 5 addons to QtCore - data files","BSD-3-clause GPL-2 GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+3+KDEeV LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1 LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1"
"ii","libkf5coreaddons-dev:amd64","5.68.0-0ubuntu1","amd64","KDE Frameworks 5 addons to QtCore - development files","BSD-3-clause GPL-2 GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+3+KDEeV LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1 LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1"
"ii","libkf5coreaddons-dev-bin","5.68.0-0ubuntu1","amd64","KDE Frameworks 5 addons to QtCore - development files","BSD-3-clause GPL-2 GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+3+KDEeV LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1 LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1"
"ii","libkf5coreaddons-doc","5.68.0-0ubuntu1","all","KDE Frameworks 5 addons to QtCore (documentation)","BSD-3-clause GPL-2 GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+3+KDEeV LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1 LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1"
"ii","libkf5coreaddons5:amd64","5.68.0-0ubuntu1","amd64","KDE Frameworks 5 addons to QtCore","BSD-3-clause GPL-2 GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+3+KDEeV LGPL-2 LGPL-2+ LGPL-2+3+KDEeV LGPL-2.1 LGPL-2.1+ LGPL-2.1+3+KDEeV MPL-1.1"
"ii","libkf5crash5:amd64","5.68.0-0ubuntu1","amd64","Support for application crash analysis and bug report from apps","LGPL-2+"
"ii","libkf5dbusaddons-bin","5.68.0-0ubuntu1","amd64","class library for qtdbus","LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5dbusaddons-data","5.68.0-0ubuntu1","all","class library for qtdbus","LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5dbusaddons-dev","5.68.0-0ubuntu1","amd64","development files for dbusaddons","LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5dbusaddons-doc","5.68.0-0ubuntu1","all","class library for qtdbus (documentation)","LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5dbusaddons5:amd64","5.68.0-0ubuntu1","amd64","class library for qtdbus","LGPL-2 LGPL-2+ LGPL-2.1+3+KDEeV"
"ii","libkf5declarative-data","5.68.0-0ubuntu2","all","provides integration of QML and KDE frameworks","BSD-3-clause Expat GPL GPL-2+ GPL-2+3+KDEeV LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV LGPL-2.1-QTexception-1.1"
"ii","libkf5declarative5:amd64","5.68.0-0ubuntu2","amd64","provides integration of QML and KDE frameworks","BSD-3-clause Expat GPL GPL-2+ GPL-2+3+KDEeV LGPL-2+ LGPL-2.1+ LGPL-2.1+3+KDEeV LGPL-2.1-QTexception-1.1"
"ii","libkf5dnssd-data","5.68.0-0ubuntu1","all","Abstraction to system DNSSD features.","BSD-3-clause GPL LGPL-2+ LGPL-2.1+3+KDEeV"
